EmployeeId,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
60,54.0,Travel_Rarely,1147.0,Sales,3.0,Bachelor,Marketing,1.0,Very High,Female,52.0,High,2.0,Sales Executive,Low,Married,5940.0,17011.0,2.0,Y,No,14.0,Excellent,Very High,80.0,1.0,16.0,4.0,Excellent,6.0,2.0,0.0,5.0,No
61,41.0,Travel_Rarely,509.0,Research & Development,7.0,College,Technical Degree,1.0,Good,Female,43.0,Very High,1.0,Research Scientist,High,Married,3375.9999999999986,18863.0,1.0,Y,No,13.0,Excellent,High,80.0,0.0,10.0,3.0,Excellent,10.0,6.0,0.0,8.0,No
62,45.0,Travel_Rarely,1038.0,Research & Development,20.0,Bachelor,Medical,1.0,Good,Male,95.0,Low,3.0,Healthcare Representative,Low,Divorced,10851.0,19863.0,2.0,Y,Yes,18.0,Excellent,Good,80.0,1.0,24.0,2.0,Excellent,7.0,7.0,0.0,7.0,No
63,45.0,Non-Travel,1052.0,Sales,6.0,Bachelor,Medical,1.0,Very High,Female,57.0,Good,3.0,Sales Executive,Very High,Single,8865.000000000002,16840.0,6.0,Y,No,12.0,Excellent,Very High,80.0,0.0,23.0,2.0,Excellent,19.0,7.0,12.0,8.0,No
64,55.0,Travel_Rarely,111.00000000000011,Sales,1.0,College,Life Sciences,1.0,Low,Male,70.0,High,3.0,Sales Executive,Very High,Married,10239.0,18092.0,3.0,Y,No,14.0,Excellent,Very High,80.0,1.0,24.0,4.0,Excellent,1.0,0.0,1.0,0.0,No
65,34.0,Travel_Frequently,1069.0,Research & Development,2.0,Below College,Life Sciences,1.0,Very High,Male,45.0,Good,2.0,Manufacturing Director,High,Married,9547.0,14074.0,1.0,Y,No,17.0,Excellent,High,80.0,0.0,10.0,2.0,Good,10.0,9.0,1.0,9.0,No
66,57.0,Travel_Rarely,405.0,Research & Development,1.0,College,Life Sciences,1.0,Good,Male,93.0,Very High,2.0,Research Scientist,High,Married,4900.0,2721.0,0.0,Y,No,24.0,Outstanding,Low,80.0,1.0,13.0,2.0,Good,12.0,9.0,2.0,8.0,No
67,33.0,Travel_Rarely,147.0,Research & Development,4.0,Master,Medical,1.0,High,Female,47.0,Good,1.0,Research Scientist,Good,Married,2622.0,13248.0,6.0,Y,No,21.0,Outstanding,Very High,80.0,0.0,7.0,3.0,Excellent,3.0,2.0,1.0,1.0,No
68,32.0,Non-Travel,300.0,Research & Development,1.0,Bachelor,Life Sciences,1.0,Very High,Male,61.0,High,1.0,Laboratory Technician,Very High,Divorced,2314.0,9148.0,0.0,Y,No,12.0,Excellent,Good,80.0,1.0,4.0,2.0,Excellent,3.0,0.0,0.0,2.0,No
69,21.0,Travel_Frequently,251.0000000000001,Research & Development,10.0,College,Life Sciences,1.0,Low,Female,45.0,Good,1.0,Laboratory Technician,High,Single,2625.0000000000005,25308.0,1.0,Y,No,20.0,Outstanding,High,80.0,0.0,2.0,2.0,Low,2.0,2.0,2.0,2.0,Yes
70,34.0,Travel_Frequently,295.99999999999966,Sales,6.0,College,Marketing,1.0,Very High,Female,33.0,Low,1.0,Sales Representative,High,Divorced,2351.0,12253.0,0.0,Y,No,16.0,Excellent,Very High,80.0,1.0,3.0,3.0,Good,2.0,2.0,1.0,0.0,Yes
71,27.0,Travel_Frequently,1242.0,Sales,20.0,Bachelor,Life Sciences,1.0,Very High,Female,90.0,High,2.0,Sales Executive,High,Single,9981.0,12916.0,1.0,Y,No,14.0,Excellent,Very High,80.0,0.0,7.0,2.0,Excellent,7.0,7.0,0.0,7.0,No
72,36.0,Travel_Rarely,917.0000000000001,Research & Development,6.0,Master,Life Sciences,1.0,High,Male,60.0,Low,1.0,Laboratory Technician,High,Divorced,2741.0,6865.000000000001,1.0,Y,No,14.0,Excellent,High,80.0,1.0,7.0,4.0,Excellent,7.0,7.0,1.0,7.0,No
73,41.0,Travel_Rarely,1360.0,Research & Development,12.0,Bachelor,Technical Degree,1.0,Good,Female,49.0,High,5.0,Research Director,High,Married,19545.0,16280.0,1.0,Y,No,12.0,Excellent,Very High,80.0,0.0,23.0,0.0,Excellent,22.0,15.0,15.0,8.0,Yes
74,33.0,Travel_Frequently,1296.0,Research & Development,6.0,Bachelor,Life Sciences,1.0,High,Male,30.0,High,2.0,Healthcare Representative,Very High,Divorced,7725.000000000002,5335.0,3.0,Y,No,23.0,Outstanding,High,80.0,1.0,15.0,2.0,Low,13.0,11.0,4.0,7.0,No
75,18.0,Non-Travel,247.0,Research & Development,8.0,Below College,Medical,1.0,High,Male,80.0,High,1.0,Laboratory Technician,High,Single,1904.0000000000005,13556.0,1.0,Y,No,12.0,Excellent,Very High,80.0,0.0,0.0,0.0,Excellent,0.0,0.0,0.0,0.0,Yes
76,27.0,Travel_Rarely,893.9999999999999,Research & Development,9.0,Bachelor,Medical,1.0,Very High,Female,99.0,High,1.0,Research Scientist,Good,Single,2279.0,11781.0,1.0,Y,No,16.0,Excellent,Very High,80.0,0.0,7.0,2.0,Good,7.0,7.0,0.0,3.0,No
77,22.0,Travel_Rarely,1229.9999999999998,Research & Development,1.0,College,Life Sciences,1.0,Very High,Male,33.0,Good,2.0,Manufacturing Director,Very High,Married,4775.0,19146.0,6.0,Y,No,22.0,Outstanding,Low,80.0,2.0,4.0,2.0,Low,2.0,2.0,2.0,2.0,No
78,33.0,Travel_Rarely,813.0,Research & Development,14.0,Bachelor,Medical,1.0,High,Male,58.0,High,1.0,Laboratory Technician,Very High,Married,2436.0000000000005,22148.999999999996,5.0,Y,Yes,13.0,Excellent,High,80.0,1.0,8.0,2.0,Low,5.0,4.0,0.0,4.0,Yes
79,42.0,Travel_Frequently,1367.9999999999998,Research & Development,28.0,Master,Technical Degree,1.0,Very High,Female,88.0,Good,2.0,Healthcare Representative,Very High,Married,4523.0,4386.000000000004,0.0,Y,No,11.0,Excellent,Very High,80.0,3.0,7.0,4.0,Outstanding,6.0,5.0,0.0,4.0,No
80,29.0,Travel_Frequently,806.0,Research & Development,1.0,Master,Life Sciences,1.0,Good,Male,76.0,Low,1.0,Research Scientist,Very High,Divorced,2720.0,18959.0,1.0,Y,No,18.0,Excellent,Very High,80.0,1.0,10.0,5.0,Excellent,10.0,7.0,2.0,8.0,No
81,35.0,Travel_Rarely,817.0,Research & Development,1.0,Bachelor,Medical,1.0,Very High,Female,60.0,Good,2.0,Laboratory Technician,Very High,Married,5363.0,10846.0,0.0,Y,No,12.0,Excellent,Good,80.0,1.0,10.0,0.0,Excellent,9.0,7.0,0.0,0.0,No
82,37.0,Non-Travel,142.0,Sales,9.0,Master,Medical,1.0,Low,Male,69.0,High,3.0,Sales Executive,Good,Divorced,8834.0,24666.0,1.0,Y,No,13.0,Excellent,Very High,80.0,1.0,9.0,6.0,Excellent,9.0,5.0,7.0,7.0,No
83,52.0,Travel_Rarely,266.0,Sales,2.0,Below College,Marketing,1.0,Low,Female,57.0,Low,5.0,Manager,Very High,Married,19845.0,25846.000000000004,1.0,Y,No,15.0,Excellent,Very High,80.0,1.0,33.0,3.0,Excellent,32.0,14.0,6.0,9.0,Yes
84,31.0,Travel_Rarely,218.0,Sales,7.0,Bachelor,Technical Degree,1.0,Good,Male,100.0,Very High,2.0,Sales Executive,Very High,Married,6929.0,12241.0,4.0,Y,No,11.0,Excellent,Good,80.0,1.0,10.0,3.0,Good,8.0,7.0,7.0,7.0,No
85,29.0,Travel_Rarely,1396.0,Sales,10.0,Bachelor,Life Sciences,1.0,High,Male,99.0,High,1.0,Sales Representative,High,Single,2641.9999999999995,2755.0,1.0,Y,No,11.0,Excellent,High,80.0,0.0,1.0,6.0,Excellent,1.0,0.0,0.0,0.0,No
86,32.0,Non-Travel,1474.0,Sales,11.0,Master,Other,1.0,Very High,Male,60.0,Very High,2.0,Sales Executive,High,Married,4707.0,23914.0,8.0,Y,No,12.0,Excellent,Very High,80.0,0.0,6.0,2.0,Excellent,4.0,2.0,1.0,2.0,Yes
87,35.0,Non-Travel,1097.0,Research & Development,11.0,College,Medical,1.0,High,Male,79.0,Good,3.0,Healthcare Representative,Low,Married,9883.999999999996,8302.0,2.0,Y,Yes,13.0,Excellent,High,80.0,1.0,10.0,3.0,Excellent,4.0,0.0,2.0,3.0,No
88,43.0,Travel_Rarely,920.0,Research & Development,3.0,Bachelor,Life Sciences,1.0,High,Male,96.0,Low,5.0,Research Director,Very High,Married,19739.999999999996,18625.0,3.0,Y,No,14.0,Excellent,Good,80.0,1.0,25.0,2.0,Excellent,8.0,7.0,0.0,7.0,No
89,33.0,Travel_Rarely,133.9999999999999,Research & Development,2.0,Bachelor,Life Sciences,1.0,High,Male,90.0,High,1.0,Research Scientist,Very High,Single,2500.0,10515.0,0.0,Y,No,14.0,Excellent,Low,80.0,0.0,4.0,2.0,Outstanding,3.0,1.0,0.0,2.0,No
90,37.0,Travel_Rarely,309.00000000000017,Sales,10.0,Master,Life Sciences,1.0,Very High,Female,88.0,Good,2.0,Sales Executive,Very High,Divorced,6694.0,24223.0,2.0,Y,Yes,14.0,Excellent,High,80.0,3.0,8.0,5.0,Excellent,1.0,0.0,0.0,0.0,No
91,27.0,Travel_Rarely,135.0,Research & Development,17.0,Master,Life Sciences,1.0,Very High,Female,51.0,High,1.0,Research Scientist,High,Single,2394.0,25681.0,1.0,Y,Yes,13.0,Excellent,Very High,80.0,0.0,8.0,2.0,Excellent,8.0,2.0,7.0,7.0,Yes
92,28.0,Travel_Rarely,1451.0,Research & Development,2.0,Below College,Life Sciences,1.0,Low,Male,67.0,Good,1.0,Research Scientist,Good,Married,3201.0,19911.0,0.0,Y,No,17.0,Excellent,Low,80.0,0.0,6.0,2.0,Low,5.0,3.0,0.0,4.0,No
